origin_country,altitude_band,total_flights,min_altitude,max_altitude,avg_altitude
Afghanistan,high,291,9105.90,12192.00,10537.36
Algeria,cruise,126,3756.66,7955.28,5980.61
Algeria,high,192,8061.96,11590.02,10018.63
Angola,cruise,144,1638.30,7772.40,4790.60
Angola,high,87,8054.34,10363.20,9843.73
Argentina,cruise,1308,1013.46,7978.14,4405.53
Argentina,high,2223,8008.62,12504.42,10986.84
Argentina,low,252,22.86,952.50,403.95
Armenia,cruise,39,4282.44,5814.06,4603.07
Armenia,low,3,548.64,548.64,548.64
Australia,cruise,32550,1005.84,7993.38,4158.78
Australia,high,19758,8001.00,20482.56,10397.54
Australia,low,8184,7.62,998.22,445.80
Austria,cruise,2034,1005.84,7985.76,3958.41
Austria,high,3813,8001.00,28864.56,11186.06
Austria,low,780,7.62,998.22,445.68
Azerbaijan,cruise,102,1036.32,7833.36,4941.79
Azerbaijan,high,306,8084.82,11285.22,10860.59
Azerbaijan,low,12,220.98,381.00,341.00
Bahamas,cruise,117,1577.34,7780.02,4456.53
Bahamas,low,6,472.44,640.08,556.26
Bahrain,cruise,237,1127.76,7901.94,6103.43
Bahrain,high,579,8031.48,11887.20,11002.33
Bahrain,low,3,594.36,594.36,594.36
Bangladesh,cruise,24,3528.06,7696.20,5888.36
Bangladesh,high,801,8008.62,12496.80,11239.33
Belarus,cruise,57,1249.68,1653.54,1620.65
Belarus,high,63,10355.58,10668.00,10532.65
Belarus,low,12,441.96,784.86,592.46
Belgium,cruise,198,1051.56,7978.14,3390.55
Belgium,high,1104,8663.94,12192.00,11256.11
Belgium,low,378,30.48,990.60,736.00
Bhutan,cruise,27,4686.30,7139.94,5974.93
Bhutan,high,582,11567.16,11597.64,11582.56
Bolivia,cruise,51,4015.74,7741.92,5052.51
Bolivia,high,9,8260.08,9006.84,8618.22
Brazil,cruise,13854,1005.84,7993.38,4207.99
Brazil,high,14043,8001.00,13723.62,10665.53
Brazil,low,3018,30.48,998.22,624.79
Brunei Darussalam,cruise,63,1249.68,5791.20,3852.45
Brunei Darussalam,low,48,76.20,990.60,334.80
Bulgaria,cruise,279,1013.46,7909.56,3383.12
Bulgaria,high,1641,8061.96,12496.80,10886.19
Bulgaria,low,45,114.30,967.74,501.90
Cambodia,cruise,126,1013.46,7955.28,4798.60
Cambodia,high,24,8107.68,8252.46,8217.22
Cambodia,low,21,236.22,838.20,496.39
Canada,cruise,44916,1005.84,7993.38,4188.62
Canada,high,44520,8001.00,30571.44,10835.94
Canada,low,14889,7.62,998.22,511.45
Chile,cruise,2334,1036.32,7993.38,4615.62
Chile,high,4191,8001.00,12199.62,10559.76
Chile,low,345,7.62,998.22,625.83
China,cruise,10641,1013.46,7993.38,4388.61
China,high,16527,8001.00,13114.02,10571.65
China,low,1584,30.48,998.22,519.57
Colombia,cruise,405,1005.84,7947.66,3579.93
Colombia,high,1008,8016.24,11590.02,10886.19
Colombia,low,96,76.20,998.22,632.46
Croatia,cruise,102,1005.84,7879.08,4188.76
Croatia,high,144,8100.06,11597.64,10489.09
