origin_country,total_flights,avg_altitude,avg_velocity
United States,2375411,5748.08,154.16
Canada,176775,6441.12,164.05
United Kingdom,114989,9514.35,214.18
Australia,100360,5732.91,156.13
Japan,75353,7353.82,198.89
Turkey,56386,9422.58,217.90
Brazil,50387,6847.00,175.68
China,49739,7807.34,204.92
Ireland,43466,8672.83,208.44
Mexico,40784,8197.41,192.76
New Zealand,32517,2343.13,85.51
Republic of Korea,32256,7169.02,205.76
India,29652,8229.75,208.23
United Arab Emirates,28268,9814.80,232.21
Germany,24851,8604.77,215.36
France,24535,7900.73,202.30
Taiwan,19753,7552.37,200.69
Spain,19610,8467.83,209.14
Malta,18283,7961.16,194.65
Malaysia,16446,6105.34,182.46
Qatar,14248,9565.89,222.63
Philippines,12805,6520.75,187.18
Israel,12497,10096.13,233.98
Kingdom of the Netherlands,12335,9369.66,223.20
Chile,11969,8117.04,201.78
Indonesia,11772,7537.34,200.68
Singapore,11684,8279.20,215.12
Austria,10431,7518.50,197.01
Panama,10042,9984.20,226.79
Egypt,9668,9838.32,225.06
Thailand,8960,6905.30,188.55
Poland,8493,8989.30,206.12
Portugal,8117,8248.97,205.31
Russian Federation,7984,9611.12,146.81
Ethiopia,6826,10475.55,235.39
Iceland,6260,8301.94,200.42
Argentina,5776,7988.14,192.52
Sweden,4630,8906.54,205.13
Switzerland,4282,8716.35,218.28
Saudi Arabia,4226,10079.54,240.43
Finland,3783,9843.02,267.03
Czech Republic,3686,7920.24,192.88
Viet Nam,3399,7495.60,206.42
Hungary,3372,7506.02,204.53
Bulgaria,3263,9571.33,299.04
Colombia,3036,7671.23,187.07
Greece,2917,8522.94,209.67
Norway,2865,7996.77,190.65
Morocco,2831,9174.35,207.83
Luxembourg,2777,10039.39,240.38
Ukraine,2769,9518.12,281.70
Jordan,2754,8987.14,221.28
Belgium,2653,8208.76,194.22
Kuwait,2443,8589.51,216.12
Uzbekistan,2384,9935.37,304.75
Italy,2248,5874.59,147.82
Oman,2150,9104.06,215.19
Denmark,1996,9975.07,202.49
Sri Lanka,1928,9430.31,227.01
Romania,1898,9434.71,222.66
Bahrain,1571,9558.40,249.68
Bangladesh,1441,10665.50,243.85
San Marino,1337,10960.88,241.37
Republic of Moldova,1161,9756.28,209.12
Guatemala,1028,2508.60,75.53
Serbia,982,8555.56,229.71
Slovakia,964,10422.12,213.54
Bhutan,906,10878.10,200.92
Kazakhstan,892,10743.28,197.37
Kenya,780,8187.82,192.71
Algeria,765,8327.37,212.06
Fiji,759,9145.23,201.17
Lithuania,704,9036.32,223.00
Azerbaijan,677,9292.57,233.02
Nepal,662,9203.37,210.91
Trinidad and Tobago,640,10668.30,230.70
Dominican Republic,582,9107.50,212.45
Islamic Republic of Iran,580,10733.30,251.79
Latvia,559,11502.11,240.19
Venezuela,536,6418.66,172.60
Pakistan,463,10232.95,224.44
Croatia,423,7725.27,222.03
Afghanistan,398,10278.67,226.61
Estonia,392,8906.77,193.37
Georgia,391,11315.88,212.99
Angola,383,7142.01,214.92
Belarus,374,6854.80,185.99
Syrian Arab Republic,345,9681.71,229.37
Myanmar,325,4770.50,174.77
Tunisia,309,9893.32,268.94
Turkmenistan,300,8298.99,238.83
Paraguay,280,3357.37,117.33
Cambodia,259,5437.89,174.76
Bahamas,245,4187.86,149.74
Ecuador,214,10750.00,240.62
Libyan Arab Jamahiriya,212,6870.94,188.10
Brunei Darussalam,212,5215.17,170.17
South Africa,211,9938.03,231.40
Rwanda,180,11430.08,226.38
Bolivia,179,9240.21,198.52
United Republic of Tanzania,135,7801.47,209.05
Papua New Guinea,117,1794.74,119.34
Maldives,108,12090.54,253.13
Cuba,96,2057.08,80.53
Uganda,85,6991.66,185.10
Yemen,68,9536.65,228.44
Nigeria,60,11992.61,221.46
Armenia,56,4313.46,320.68
Iraq,56,4180.25,172.85
Barbados,41,12596.98,262.93
Lebanon,36,11269.98,208.21
Mauritania,36,10668.00,226.48
Uruguay,30,1525.78,98.54
Mongolia,27,11612.03,243.68
Nicaragua,18,363.22,54.97
