callsign,origin_country,total_flights,avg_altitude,avg_velocity
FFAB123,United States,732,207.58,46.22
ACA33,Canada,387,6917.72,195.32
N,Canada,327,4812.76,127.47
VVAB320,United States,321,69.43,64.81
EZY73UB,United Kingdom,312,5163.87,159.28
UPS67,United States,300,6997.52,205.78
DAL508,United States,294,7463.87,196.10
ATN8752,United States,294,9653.68,194.52
SWA4260,United States,294,10958.03,230.78
EXS87ET,United Kingdom,294,10619.56,226.88
VHZIO,Australia,294,4143.10,77.36
N551FR,United States,294,8909.02,201.66
AFR256,France,294,9448.80,259.43
VTM392,Mexico,294,9143.92,220.18
ASA529,United States,294,10363.28,235.40
